카이스트 신소재,https://starlibrary.org/research/researcherByDept?searchInsttType=&searchName=732&page=2&insttType=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
이름,강기범,강정구,강지형,김경민,김도경,김상욱,김일두,남윤성,박병국,박상희,박찬범,배병수,스티브 박,신병하,신종화,염지현,오지훈,육종민,이건재,이혁모,장재범,전석우,정성윤,정연식,정우철,조은애,조힘찬,최벽파,한승민,홍승범,X
url,X,http://nanosf.kaist.ac.kr ,X,http://semi.kaist.ac.kr ,http://mse2.kaist.ac.kr/~ncrl ,http://snml.kaist.ac.kr ,http://advnano.kaist.ac.kr ,http://bama.kaist.ac.kr ,http://nanospin.kaist.ac.kr ,http://ssmd.kaist.ac.kr ,http://biomaterials.kaist.ac.kr ,http://www.sol-gel.net/lomc ,X,http://energymatlab.kaist.ac.kr ,http://apmd.kaist.ac.kr ,yeom-lab.com ,http://les.kaist.ac.kr/ ,yuklab.kaist.ac.kr ,http://fand.kaist.ac.kr/ ,http://triangle.kaist.ac.kr ,https://sites.google.com/site/jbchang03/home ,http://fdml.kaist.ac.kr ,http://sites.google.com/site/atomicscaledefects ,http://funnano.kaist.ac.kr ,http://seml.kaist.ac.kr ,http://ecsm.kaist.ac.kr ,https://scholar.google.com/citations?user=aMRWVm4AAAAJ&hl=ko ,nmac.kaist.ac.kr ,http://mpnano.kaist.ac.kr ,mii.kaist.ac.kr ,X
전공1,나노 재료 합성 ;,수소기술 ;,초분자 소재 ;,멤리스터 ;,환경/에너지세라믹스 ;,고분자구조및물성 ;,전자세라믹스 ;,계면/표면공학 ;,스핀 트랜지스터 ;,박막트랜지스터 ;,생물화학공학 ;,비정질재료 ;,플렉시블 전자소자 적용을 위한 박막 결정화 ;,환경/에너지세라믹스 ;,메타물질 ;,나노 소재 ;,환경/에너지세라믹스 ;,전자현미경 ;,박막증착 ;,X,초고해상도 뇌 이미징 ;,광재료 ;,에너지 재료 ;,고분자구조및물성 ;,연료전지 ;,연료전지 ;,발광 나노소재 ;,금속재료 ;,재료공학 ;,유전체/압전체 도메인 및 도메인경계 공학 ;,X
전공2,이차원 재료 ;,계면/표면공학 ;,자극 반응성 소재 ;,차세대 반도체 소자 ;,세라믹복합재료 ;,기능성고분자 ;,환경/에너지세라믹스 ;,생체세라믹스 ;,박막공학 ;,센서용 소자 ;,응용생물학 ;,표면개질 ;,전자피부 ;,반도체물성 ;,플라즈모닉스 ;,카이랄 소재 ;,태양전지 ;,결정성장 및 재료상변태 ;,반도체공정 ;,X,뇌 질환 ;,유기전자재료 ;,전자현미경 ;,정보/전자용고분자 ;,수소생산 ;,이차전지 ;,유무기 하이브리드 발광 다이오드 ;,재료분석 ;,나노구조 에너지 재료의 기계적 특성,고체/액체 계면에서의 분극 도메인 및 이온 전하 영상화 ;,X
전공3,반도체 재료 및 공정,표면화학,생체 전자 공학,뉴로모픽 컴퓨팅,구조세라믹스,고분자재료,에너지 재료,생체재료,스핀트로닉스,반도체 소자,생체/의료용고분자,세라믹재료합성,바이오센서,박막공학,나노포토닉스,나노바이오소재,전기화학공학,이차원재료합성 및 특성평가,반도체센서,X,하이드로젤 공학,제조공정기술,결함화학,기능성고분자,전기화학촉매,부식,나노소재 패터닝,합금설계,X,복합재료내에서의 임피던스 변화 메커니즘 연구,X
전공4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
